"CO_ANO";"SUBSTANCIA";"NO_FAT_AGREG";"IMP_FOB.x";"QUANTIDADE_TON";"percentual_FAT_AGREG"
"2017";"Zinco";"PRODUTOS MANUFATURADOS";62519577;23144,24;16,38
"2018";"Zinco";"PRODUTOS MANUFATURADOS";85066531;32875,934;17,64
"2016";"Zinco";"PRODUTOS SEMIMANUFATURADOS";63561414;29201,635;23,34
"2017";"Zinco";"PRODUTOS SEMIMANUFATURADOS";91740664;30204,813;24,03
"2018";"Zinco";"PRODUTOS SEMIMANUFATURADOS";120760763;38649,908;25,05
"2016";"Zircônio";"PRODUTOS BASICOS";10703972;11366,014;45,41
"2017";"Zircônio";"PRODUTOS BASICOS";11647951;10613,602;44,04
"2018";"Zircônio";"PRODUTOS BASICOS";15288008;11457,616;49,49
"2016";"Zircônio";"PRODUTOS MANUFATURADOS";12857865;1389,499;54,55
"2017";"Zircônio";"PRODUTOS MANUFATURADOS";14787187;1423,818;55,91
"2018";"Zircônio";"PRODUTOS MANUFATURADOS";15595090;1376,986;50,48
"2016";"Zircônio";"PRODUTOS SEMIMANUFATURADOS";8332;0,028;0,04
"2017";"Zircônio";"PRODUTOS SEMIMANUFATURADOS";12814;0,04;0,05
"2018";"Zircônio";"PRODUTOS SEMIMANUFATURADOS";9881;0,025;0,03
