"CO_ANO";"SUBSTANCIA";"CO_NCM";"NO_NCM_Subitem_POR";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"id_NCM_ano";"VALOR_(usd/un)"
"2018";"Argilas Plásticas";"85051910";"Ímãs permanentes e artefatos destinados a tornarem-se ímãs permanentes após magnetização, de ferrita (cerâmicos)";8708786;3925687;"KGL";"QUILOGRAMA LIQUIDO";"85051910_2018";6,7521
"2018";"Argilas Plásticas";"69091290";"Outros artefatos de cerâmica, exceto porcelana, com uma dureza equivalente a 9 ou mais na escala de Mohs";7369966;4209780;"KGL";"QUILOGRAMA LIQUIDO";"69091290_2018";4,703
"2018";"Argilas Plásticas";"69109000";"Pias, lavatórios, etc, para sanitários, de cerâmica, exceto porcelana";3960531;123239;"UNID.";"NUMERO (UNIDADE)";"69109000_2018";66,897
"2018";"Argilas Plásticas";"85471000";"Peças isolantes de cerâmica, para máquinas, aparelhos e instalações elétricas";3531972;509477;"KGL";"QUILOGRAMA LIQUIDO";"85471000_2018";32,6316
"2018";"Argilas Plásticas";"38029030";"Atapulgita";2401239;5249823;"KGL";"QUILOGRAMA LIQUIDO";"38029030_2018";0,468
"2018";"Argilas Plásticas";"69099000";"Alguidares e outros recipientes de cerâmica para uso rural, etc.";962799;26149;"KGL";"QUILOGRAMA LIQUIDO";"69099000_2018";826,9396
"2018";"Argilas Refratárias";"85322410";"Outros condensadores fixos, com dielétrico de cerâmica, de camadas múltiplas, próprios para montagem em superfície (SMD - Surface Mounted Device)";166074680;40935844752;"UNID.";"NUMERO (UNIDADE)";"85322410_2018";0,0132
"2018";"Argilas Refratárias";"82090011";"Plaquetas ou pastilhas, não montadas, de ceramais (cermets), intercambiáveis";66383677;182064;"KGL";"QUILOGRAMA LIQUIDO";"82090011_2018";378,1829
"2018";"Argilas Refratárias";"81130010";"Chapas, folhas, tiras, fios, hastes, pastilhas e plaquetas, de ceramais";11993194;172873;"KGL";"QUILOGRAMA LIQUIDO";"81130010_2018";87,3998
"2018";"Argilas Refratárias";"38160090";"Outros concretos e composições semelhantes, refratrários";9195667;6008926;"KGL";"QUILOGRAMA LIQUIDO";"38160090_2018";1,5876
"2018";"Argilas Refratárias";"38160019";"Outros cimentos e argamassas, refratrários";8098926;9491758;"KGL";"QUILOGRAMA LIQUIDO";"38160019_2018";1,3829
"2018";"Argilas Refratárias";"82090019";"Outras plaquetas ou pastilhas, não montadas, de ceramais (cermets)";3408175;33269;"KGL";"QUILOGRAMA LIQUIDO";"82090019_2018";123,2
"2018";"Argilas Refratárias";"85322390";"Outros condensadores fixos com dielétrico de cerâmica, de uma só camada";3040712;115930170;"UNID.";"NUMERO (UNIDADE)";"85322390_2018";0,0486
"2018";"Argilas Refratárias";"85322310";"Condensadores fixos com dielétrico de cerâmica, de uma só camada, próprios para montagem em superfície (SMD - Surface Mounted Device)";2792336;818983278;"UNID.";"NUMERO (UNIDADE)";"85322310_2018";0,0108
"2018";"Argilas Refratárias";"81130090";"Outras obras de ceramais, desperdícios e resíduos de ceramais";2554538;94720;"KGL";"QUILOGRAMA LIQUIDO";"81130090_2018";108,657
"2018";"Argilas Refratárias";"69039099";"Outros produtos cerâmicos refratrários";2059981;328505;"KGL";"QUILOGRAMA LIQUIDO";"69039099_2018";30,1513
"2018";"Arsênio";"28048000";"Arsênio";86263;40001;"KGL";"QUILOGRAMA LIQUIDO";"28048000_2018";2,8384
"2018";"Bário";"25111000";"Sulfato de bário natural (baritina)";6629406;32078378;"KGL";"QUILOGRAMA LIQUIDO";"25111000_2018";0,4781
"2018";"Bário";"28332710";"Sulfato de bário, com teor de BaSO4 superior ou igual a 97,5 %, em peso";5719450;7595243;"KGL";"QUILOGRAMA LIQUIDO";"28332710_2018";0,8427
"2018";"Bário";"28366010";"Carbonato de bário, com um teor de BaCO3 superior ou igual a 98%, em peso";2639797;4680913;"KGL";"QUILOGRAMA LIQUIDO";"28366010_2018";0,5634
"2018";"Bário";"28164010";"Hidróxido de bário";930792;338749;"KGL";"QUILOGRAMA LIQUIDO";"28164010_2018";2,4404
"2018";"Bário";"32064210";"Litopônio";402740;239800;"KGL";"QUILOGRAMA LIQUIDO";"32064210_2018";1,8371
"2018";"Bário";"28366090";"Outros carbonatos de bário";223239;457840;"KGL";"QUILOGRAMA LIQUIDO";"28366090_2018";2,3358
"2018";"Bário";"28332790";"Outros sulfatos de bário";105674;115295;"KGL";"QUILOGRAMA LIQUIDO";"28332790_2018";0,6762
"2018";"Bário";"25112000";"Carbonato de bário natural (witherita)";65030;108000;"KGL";"QUILOGRAMA LIQUIDO";"25112000_2018";0,6021
"2018";"Bário";"48101382";"Papéis e cartões baritados, sem fibras obtidas por processo mecânico ou químico-mecânico ou em que a percentagem destas fibras não seja superior a 10 %, em peso, do conteúdo total de fibras, em rolos, de peso superior a 150 g/m2";1299;86;"KGL";"QUILOGRAMA LIQUIDO";"48101382_2018";14,625
"2018";"Bário";"48101482";"Papel baritado, sem fibra obtida por processo mecânico ou químico-mecânico ou em que a percentagem destas fibras < 10 %,em peso,do conteúdo total de fibras,de peso > 150 g/m2,em folhas em que um dos lados < 435 mm e o outro < 297 mm,quando não dobradas";710;52;"KGL";"QUILOGRAMA LIQUIDO";"48101482_2018";14,25
"2018";"Bauxita";"76011000";"Alumínio não ligado, em formas brutas";646547687;6360450;"TML";"TONELADA METRICA LIQUIDA";"76011000_2018";2323,8232
"2018";"Bauxita";"76020000";"Desperdícios e resíduos, de alumínio";245863977;139599,789;"TML";"TONELADA METRICA LIQUIDA";"76020000_2018";1700,5
"2018";"Bauxita";"76061290";"Outras chapas e tiras, de ligas alumínio, espessura > 0.2mm";183504749;62102,492;"TML";"TONELADA METRICA LIQUIDA";"76061290_2018";4336,35
"2018";"Bauxita";"76169900";"Outras obras de alumínio";168394141;14801,768;"TML";"TONELADA METRICA LIQUIDA";"76169900_2018";33572,15
"2018";"Bauxita";"76012000";"Ligas de alumínio, em formas brutas";143852692;58992,731;"TML";"TONELADA METRICA LIQUIDA";"76012000_2018";2484,9
"2018";"Bauxita";"76071190";"Outras folhas e tiras, de alumínio sem suporte, laminado, espessura <= 0.2 mm";83954314;23462,151;"TML";"TONELADA METRICA LIQUIDA";"76071190_2018";4088,15
"2018";"Bauxita";"76071990";"Outras folhas e tiras, de alumínio, sem suporte, espessura <= 0.2mm";65119506;11891,804;"TML";"TONELADA METRICA LIQUIDA";"76071990_2018";10167,35
"2018";"Bauxita";"76149010";"Outros cabos de alumínio, não isolados para usos elétricos";57889264;27387,667;"TML";"TONELADA METRICA LIQUIDA";"76149010_2018";5523,8
"2018";"Bauxita";"76072000";"Folhas e tiras, delgadas, de alumínio (mesmo impressas ou com suporte de papel, cartão, plásticos ou semelhantes), de espessura não superior a 0,2 mm, com suporte";53356320;10555,844;"TML";"TONELADA METRICA LIQUIDA";"76072000_2018";7611,8
