"CO_ANO";"SUBSTANCIA";"CO_NCM";"NO_NCM_Subitem_POR";"EX_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"id_NCM_ano";"VALOR_(usd/un)"
"2018";"Argilas Comuns";"69072200";"Ladrilhos e placas (lajes), para pavimentação ou revestimento, exceto os das subposições 6907.30 e 6907.40, com um coeficiente de absorção de água, em peso, superior a 0,5 %, mas não superior a 10 %";278797580;84614987;"M2";"METRO QUADRADO";"69072200_2018";2,767
"2018";"Argilas Comuns";"69072100";"Ladrilhos e placas (lajes), para pavimentação ou revestimento, exceto os das subposições 6907.30 e 6907.40, com um coeficiente de absorção de água, em peso, não superior a 0,5 %";122680228;14462019;"M2";"METRO QUADRADO";"69072100_2018";7,989
"2018";"Argilas Comuns";"69072300";"Ladrilhos e placas (lajes), para pavimentação ou revestimento, exceto os das subposições 6907.30 e 6907.40, com um coeficiente de absorção de água, em peso, superior a 10 %";41343501;6729163;"M2";"METRO QUADRADO";"69072300_2018";6,5255
"2018";"Argilas Comuns";"69074000";"Peças de acabamento, de cerâmica";5718636;390477;"M2";"METRO QUADRADO";"69074000_2018";20,2667
"2018";"Argilas Comuns";"32072010";"Engobos";4751594;10546727;"KGL";"QUILOGRAMA LIQUIDO";"32072010_2018";0,4755
"2018";"Argilas Comuns";"69051000";"Telhas de cerâmica";2766991;14566070;"KGL";"QUILOGRAMA LIQUIDO";"69051000_2018";0,1841
"2018";"Argilas Comuns";"69041000";"Tijolos de cerâmica";1673710;440311;"MIL";"MILHEIRO";"69041000_2018";144,3539
"2018";"Argilas Comuns";"69073000";"Cubos, pastilhas e artigos semelhantes, para mosaicos, exceto os da subposição 6907.40";1211358;68634;"M2";"METRO QUADRADO";"69073000_2018";33,0555
"2018";"Argilas Comuns";"69149000";"Outras obras de cerâmica, exceto porcelana";1009866;161243;"KGL";"QUILOGRAMA LIQUIDO";"69149000_2018";13,8891
"2018";"Argilas Comuns";"69139000";"Estatuetas/outros objetos ornamentais de cerâmica, exceto porcelana";535812;22434;"KGL";"QUILOGRAMA LIQUIDO";"69139000_2018";19,2502
"2018";"Argilas Plásticas";"69109000";"Pias, lavatórios, etc, para sanitários, de cerâmica, exceto porcelana";38476775;1728510;"UNID.";"NUMERO (UNIDADE)";"69109000_2018";20,3417
"2018";"Argilas Plásticas";"85462000";"Isoladores de cerâmica para uso elétrico";7671208;2928790;"KGL";"QUILOGRAMA LIQUIDO";"85462000_2018";3,4736
"2018";"Argilas Plásticas";"69091990";"Outros aparelhos e artefatos de cerâmica, para uso químico/técnico";7236458;219057;"KGL";"QUILOGRAMA LIQUIDO";"69091990_2018";74,5
"2018";"Argilas Plásticas";"69120000";"Louça, outros artigos de uso doméstico e artigos de higiene ou de toucador, de cerâmica, exceto de porcelana";6707445;3714994;"KGL";"QUILOGRAMA LIQUIDO";"69120000_2018";3,9147
"2018";"Argilas Plásticas";"69091290";"Outros artefatos de cerâmica, exceto porcelana, com uma dureza equivalente a 9 ou mais na escala de Mohs";2334603;514060;"KGL";"QUILOGRAMA LIQUIDO";"69091290_2018";26,7778
"2018";"Argilas Plásticas";"85471000";"Peças isolantes de cerâmica, para máquinas, aparelhos e instalações elétricas";605455;100753;"KGL";"QUILOGRAMA LIQUIDO";"85471000_2018";10,2166
"2018";"Argilas Plásticas";"85051910";"Ímãs permanentes e artefatos destinados a tornarem-se ímãs permanentes após magnetização, de ferrita (cerâmicos)";413211;141126;"KGL";"QUILOGRAMA LIQUIDO";"85051910_2018";20,4667
"2018";"Argilas Plásticas";"69099000";"Alguidares e outros recipientes de cerâmica para uso rural, etc.";146844;8391;"KGL";"QUILOGRAMA LIQUIDO";"69099000_2018";78,4902
"2018";"Argilas Plásticas";"69091910";"Outros guia-fios para máquinas têxteis, de cerâmica, exceto porcelana";55418;1443;"KGL";"QUILOGRAMA LIQUIDO";"69091910_2018";686,5384
"2018";"Argilas Plásticas";"38029030";"Atapulgita";3689;3830;"KGL";"QUILOGRAMA LIQUIDO";"38029030_2018";0,9
"2018";"Argilas Refratárias";"38160090";"Outros concretos e composições semelhantes, refratrários";7252885;7135576;"KGL";"QUILOGRAMA LIQUIDO";"38160090_2018";1,08
"2018";"Argilas Refratárias";"82090011";"Plaquetas ou pastilhas, não montadas, de ceramais (cermets), intercambiáveis";2762718;2839351;"KGL";"QUILOGRAMA LIQUIDO";"82090011_2018";97,4584
"2018";"Argilas Refratárias";"38160019";"Outros cimentos e argamassas, refratrários";2126646;2038203;"KGL";"QUILOGRAMA LIQUIDO";"38160019_2018";1,4229
"2018";"Argilas Refratárias";"69039099";"Outros produtos cerâmicos refratrários";1545990;79889;"KGL";"QUILOGRAMA LIQUIDO";"69039099_2018";17,2519
"2018";"Argilas Refratárias";"85322410";"Outros condensadores fixos, com dielétrico de cerâmica, de camadas múltiplas, próprios para montagem em superfície (SMD - Surface Mounted Device)";1424819;310322241;"UNID.";"NUMERO (UNIDADE)";"85322410_2018";0,0062
"2018";"Argilas Refratárias";"81130090";"Outras obras de ceramais, desperdícios e resíduos de ceramais";743606;119349;"KGL";"QUILOGRAMA LIQUIDO";"81130090_2018";28,6308
"2018";"Argilas Refratárias";"25083000";"Argilas refratárias";376123;1249019;"KGL";"QUILOGRAMA LIQUIDO";"25083000_2018";0,216
"2018";"Argilas Refratárias";"81130010";"Chapas, folhas, tiras, fios, hastes, pastilhas e plaquetas, de ceramais";243855;10871;"KGL";"QUILOGRAMA LIQUIDO";"81130010_2018";38,5046
"2018";"Argilas Refratárias";"69029090";"Outros tijolos e pecas cerâmicas para construção, refratários";124721;18802;"KGL";"QUILOGRAMA LIQUIDO";"69029090_2018";4,156
"2018";"Argilas Refratárias";"82090090";"Outras pontas e objetos semelhantes para ferramentas, não montados, de ceramais (cermets)";76146;20271;"KGL";"QUILOGRAMA LIQUIDO";"82090090_2018";16,5789
"2018";"Bário";"25111000";"Sulfato de bário natural (baritina)";112345;266898;"KGL";"QUILOGRAMA LIQUIDO";"25111000_2018";0,7
"2018";"Bário";"28419021";"Ferrito de bário";51666;74340;"KGL";"QUILOGRAMA LIQUIDO";"28419021_2018";0,695
"2018";"Bário";"25112000";"Carbonato de bário natural (witherita)";41918;52751;"KGL";"QUILOGRAMA LIQUIDO";"25112000_2018";0,922
"2018";"Bário";"28164010";"Hidróxido de bário";6400;2000;"KGL";"QUILOGRAMA LIQUIDO";"28164010_2018";3,2
"2018";"Bário";"28332790";"Outros sulfatos de bário";4134;25;"KGL";"QUILOGRAMA LIQUIDO";"28332790_2018";168
"2018";"Bário";"28332710";"Sulfato de bário, com teor de BaSO4 superior ou igual a 97,5 %, em peso";2303;2575;"KGL";"QUILOGRAMA LIQUIDO";"28332710_2018";0,8925
"2018";"Bauxita";"28182010";"Alumina calcinada";2537478547;6262659,415;"TML";"TONELADA METRICA LIQUIDA";"28182010_2018";557,5
"2018";"Bauxita";"26060011";"Bauxita não calcinada (minério de alumínio)";267941798;7935105,456;"TML";"TONELADA METRICA LIQUIDA";"26060011_2018";37,1
"2018";"Bauxita";"76061290";"Outras chapas e tiras, de ligas alumínio, espessura > 0.2mm";242572740;76172,2;"TML";"TONELADA METRICA LIQUIDA";"76061290_2018";4124,1
"2018";"Bauxita";"76011000";"Alumínio não ligado, em formas brutas";214644718;104554;"TML";"TONELADA METRICA LIQUIDA";"76011000_2018";2050,4126
"2018";"Bauxita";"28183000";"Hidróxido de alumínio";176006816;871766,031;"TML";"TONELADA METRICA LIQUIDA";"28183000_2018";267,2
"2018";"Bauxita";"76129019";"Outros recipientes tubulares, de alumínio, de capacidade não superior a 300 litros";112829085;17365,667;"TML";"TONELADA METRICA LIQUIDA";"76129019_2018";6199,2
"2018";"Bauxita";"76071190";"Outras folhas e tiras, de alumínio sem suporte, laminado, espessura <= 0.2 mm";95344481;26183,037;"TML";"TONELADA METRICA LIQUIDA";"76071190_2018";4220,7
"2018";"Bauxita";"28181090";"Outros corindos artificiais, de constituição química definida ou não";77532875;162893,48;"TML";"TONELADA METRICA LIQUIDA";"28181090_2018";1067,4
"2018";"Bauxita";"85322200";"Condensador fixo eletrolítico, de alumínio";74161497;146976372;"UNID.";"NUMERO (UNIDADE)";"85322200_2018";1,5426
"2018";"Bauxita";"76151000";"Artefatos de uso doméstico e suas partes; esponjas, esfregões, luvas e artefatos semelhantes, para limpeza, polimento ou usos semelhantes, de alumínio";55664812;7933,206;"TML";"TONELADA METRICA LIQUIDA";"76151000_2018";9718,85
"2018";"Bentonita";"25081000";"Bentonita";6360815;11801711;"KGL";"QUILOGRAMA LIQUIDO";"25081000_2018";0,7021
"2018";"Bentonita";"38029020";"Bentonita (matéria mineral natural ativada)";150420;211305;"KGL";"QUILOGRAMA LIQUIDO";"38029020_2018";3,3656
"2018";"Bismuto";"81060090";"Obras de bismuto, desperdícios e resíduos, de bismuto";24685;195;"KGL";"QUILOGRAMA LIQUIDO";"81060090_2018";200
"2018";"Bismuto";"28274911";"Oxicloretos de bismuto";8430;80;"KGL";"QUILOGRAMA LIQUIDO";"28274911_2018";105,375
"2018";"Boro";"28402000";"Outros boratos";301785;29293;"KGL";"QUILOGRAMA LIQUIDO";"28402000_2018";4,56
"2018";"Boro";"28401900";"Outros tetraboratos dissódicos (borax refinado)";66848;58746;"KGL";"QUILOGRAMA LIQUIDO";"28401900_2018";0,6398
"2018";"Boro";"25280000";"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";56822;74325;"KGL";"QUILOGRAMA LIQUIDO";"25280000_2018";8,9813
"2018";"Boro";"28100010";"Ácido ortobórico";18703;15850;"KGL";"QUILOGRAMA LIQUIDO";"28100010_2018";1,1925
"2018";"Boro";"28500010";"Nitreto de boro";15841;150;"QUILT";"QUILATE";"28500010_2018";96,7
"2018";"Boro";"28100090";"Óxidos de boro e outros ácidos bóricos";13078;14250;"KGL";"QUILOGRAMA LIQUIDO";"28100090_2018";0,8733
"2018";"Boro";"28499010";"Carbonetos de constituição química definida ou não, de boro";5638;500;"KGL";"QUILOGRAMA LIQUIDO";"28499010_2018";11,276
"2018";"Boro";"28403000";"Peroxoboratos (perboratos)";2130;750;"KGL";"QUILOGRAMA LIQUIDO";"28403000_2018";2,7362
"2018";"Boro";"28401100";"Tetraborato dissódico (borax refinado) anidro";35;1;"KGL";"QUILOGRAMA LIQUIDO";"28401100_2018";35
"2018";"Bromo";"28275900";"Outros brometos e oxibrometos";389082;246001;"KGL";"QUILOGRAMA LIQUIDO";"28275900_2018";1,5802
"2018";"Bromo";"28275100";"Brometos de sódio ou de potássio";292618;889250;"KGL";"QUILOGRAMA LIQUIDO";"28275100_2018";0,2658
"2018";"Cádmio";"32064910";"Pigmentos preparados à base de compostos de cádmio";2647401;159873;"KGL";"QUILOGRAMA LIQUIDO";"32064910_2018";20,572
"2018";"Cádmio";"81072010";"Cádmio em formas brutas";217957;305070;"KGL";"QUILOGRAMA LIQUIDO";"81072010_2018";0,7052
"2018";"Calcário";"28352600";"Outros fosfatos de cálcio";15258843;25569,982;"TML";"TONELADA METRICA LIQUIDA";"28352600_2018";1490
"2018";"Calcário";"28299032";"Iodatos de cálcio";7284493;459,751;"TML";"TONELADA METRICA LIQUIDA";"28299032_2018";18300
"2018";"Calcário";"25232910";"Cimentos 'portland', comuns";7244300;97757,632;"TML";"TONELADA METRICA LIQUIDA";"25232910_2018";85,65
"2018";"Calcário";"28365000";"Carbonato de cálcio";3944660;11946,925;"TML";"TONELADA METRICA LIQUIDA";"28365000_2018";300
"2018";"Calcário";"68118200";"Outras chapas, painéis, ladrilhos, telhas e artigos semelhantes, de fibrocimento, cimento-celulose ou produtos semelhantes";3879372;18803,756;"TML";"TONELADA METRICA LIQUIDA";"68118200_2018";228,55
"2018";"Calcário";"28491000";"Carbonetos de constituição química definida ou não, de cálcio";3841171;4414,041;"TML";"TONELADA METRICA LIQUIDA";"28491000_2018";857,75
"2018";"Calcário";"68109900";"Outras obras de cimento, de concreto ou de pedra artificial, mesmo armadas";3448677;4580,772;"TML";"TONELADA METRICA LIQUIDA";"68109900_2018";1577,2
"2018";"Calcário";"28352500";"Hidrogeno-ortofosfato de cálcio (fosfato dicálcico)";2340982;4867,41;"TML";"TONELADA METRICA LIQUIDA";"28352500_2018";480,9
"2018";"Calcário";"25232990";"Outros tipos de cimento 'portland'";1887922;21202,351;"TML";"TONELADA METRICA LIQUIDA";"25232990_2018";82,2
"2018";"Calcário";"68118100";"Chapas onduladas de fibrocimento, cimento-celulose, ou produtos semelhantes, que não contenham amianto";1309603;4973,527;"TML";"TONELADA METRICA LIQUIDA";"68118100_2018";237
"2018";"Carvão Mineral";"27075000";"Outras misturas de hidrocarbonetos aromáticos que destilem, incluindo as perdas, uma fração igual ou superior a 65 %, em volume, a 250 °C, segundo o método ASTM D 86";41013409;73134297;"KGL";"QUILOGRAMA LIQUIDO";"27075000_2018";0,55
"2018";"Carvão Mineral";"27060000";"Alcatrões de hulha, de linhita ou de turfa e outros alcatrões minerais, mesmo desidratados ou parcialmente destilados, incluindo os alcatrões reconstituídos";9849332;33236740;"KGL";"QUILOGRAMA LIQUIDO";"27060000_2018";0,2555
"2018";"Carvão Mineral";"85451100";"Eletrodos de carvão, dos tipos utilizados em fornos";8599673;768525;"KGL";"QUILOGRAMA LIQUIDO";"85451100_2018";16,5
"2018";"Carvão Mineral";"38013010";"Pasta carbonada para eletrodos";7982873;11259614;"KGL";"QUILOGRAMA LIQUIDO";"38013010_2018";0,7126
"2018";"Carvão Mineral";"85452000";"Escovas de carvão, para usos elétricos";4987978;444375;"KGL";"QUILOGRAMA LIQUIDO";"85452000_2018";107
"2018";"Carvão Mineral";"27071000";"Benzol (benzeno) (produtos da destilação dos alcatrões de hulha)";3518962;7088893;"KGL";"QUILOGRAMA LIQUIDO";"27071000_2018";0,5088
"2018";"Carvão Mineral";"38021000";"Carvões ativados";1232196;935111;"KGL";"QUILOGRAMA LIQUIDO";"38021000_2018";5,1
"2018";"Carvão Mineral";"27040090";"Semicoques de hulha, linhita ou turfa, carvão de retorta";783368;1052741;"KGL";"QUILOGRAMA LIQUIDO";"27040090_2018";0,6983
