"CO_ANO";"SUBSTANCIA";"CO_NCM";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Argilas Plásticas";"85471000";3531972;509477;"KGL";"QUILOGRAMA LIQUIDO";3,169;"Peças isolantes de cerâmica, para máquinas, aparelhos e instalações elétricas"
"2018";"Argilas Plásticas";"38029030";2401239;5249823;"KGL";"QUILOGRAMA LIQUIDO";2,154;"Atapulgita"
"2018";"Argilas Plásticas";"69099000";962799;26149;"KGL";"QUILOGRAMA LIQUIDO";0,864;"Alguidares e outros recipientes de cerâmica para uso rural, etc."
"2018";"Argilas Refratárias";"85322410";166074680;40935844752;"UNID.";"NUMERO (UNIDADE)";58,932;"Outros condensadores fixos, com dielétrico de cerâmica, de camadas múltiplas, próprios para montagem em superfície (SMD - Surface Mounted Device)"
"2018";"Argilas Refratárias";"82090011";66383677;182064;"KGL";"QUILOGRAMA LIQUIDO";23,556;"Plaquetas ou pastilhas, não montadas, de ceramais (cermets), intercambiáveis"
"2018";"Argilas Refratárias";"81130010";11993194;172873;"KGL";"QUILOGRAMA LIQUIDO";4,256;"Chapas, folhas, tiras, fios, hastes, pastilhas e plaquetas, de ceramais"
"2018";"Argilas Refratárias";"38160090";9195667;6008926;"KGL";"QUILOGRAMA LIQUIDO";3,263;"Outros concretos e composições semelhantes, refratrários"
"2018";"Argilas Refratárias";"38160019";8098926;9491758;"KGL";"QUILOGRAMA LIQUIDO";2,874;"Outros cimentos e argamassas, refratrários"
"2018";"Argilas Refratárias";"82090019";3408175;33269;"KGL";"QUILOGRAMA LIQUIDO";1,209;"Outras plaquetas ou pastilhas, não montadas, de ceramais (cermets)"
"2018";"Argilas Refratárias";"85322390";3040712;115930170;"UNID.";"NUMERO (UNIDADE)";1,079;"Outros condensadores fixos com dielétrico de cerâmica, de uma só camada"
"2018";"Argilas Refratárias";"85322310";2792336;818983278;"UNID.";"NUMERO (UNIDADE)";0,991;"Condensadores fixos com dielétrico de cerâmica, de uma só camada, próprios para montagem em superfície (SMD - Surface Mounted Device)"
"2018";"Argilas Refratárias";"81130090";2554538;94720;"KGL";"QUILOGRAMA LIQUIDO";0,906;"Outras obras de ceramais, desperdícios e resíduos de ceramais"
"2018";"Argilas Refratárias";"69039099";2059981;328505;"KGL";"QUILOGRAMA LIQUIDO";0,731;"Outros produtos cerâmicos refratrários"
"2018";"Arsênio";"28048000";86263;40001;"KGL";"QUILOGRAMA LIQUIDO";100;"Arsênio"
"2018";"Bário";"25111000";6629406;32078378;"KGL";"QUILOGRAMA LIQUIDO";39,652;"Sulfato de bário natural (baritina)"
"2018";"Bário";"28332710";5719450;7595243;"KGL";"QUILOGRAMA LIQUIDO";34,21;"Sulfato de bário, com teor de BaSO4 superior ou igual a 97,5 %, em peso"
"2018";"Bário";"28366010";2639797;4680913;"KGL";"QUILOGRAMA LIQUIDO";15,789;"Carbonato de bário, com um teor de BaCO3 superior ou igual a 98%, em peso"
"2018";"Bário";"28164010";930792;338749;"KGL";"QUILOGRAMA LIQUIDO";5,567;"Hidróxido de bário"
"2018";"Bário";"32064210";402740;239800;"KGL";"QUILOGRAMA LIQUIDO";2,409;"Litopônio"
"2018";"Bário";"28366090";223239;457840;"KGL";"QUILOGRAMA LIQUIDO";1,335;"Outros carbonatos de bário"
"2018";"Bário";"28332790";105674;115295;"KGL";"QUILOGRAMA LIQUIDO";0,632;"Outros sulfatos de bário"
"2018";"Bário";"25112000";65030;108000;"KGL";"QUILOGRAMA LIQUIDO";0,389;"Carbonato de bário natural (witherita)"
"2018";"Bário";"48101382";1299;86;"KGL";"QUILOGRAMA LIQUIDO";0,008;"Papéis e cartões baritados, sem fibras obtidas por processo mecânico ou químico-mecânico ou em que a percentagem destas fibras não seja superior a 10 %, em peso, do conteúdo total de fibras, em rolos, de peso superior a 150 g/m2"
"2018";"Bário";"48101482";710;52;"KGL";"QUILOGRAMA LIQUIDO";0,004;"Papel baritado, sem fibra obtida por processo mecânico ou químico-mecânico ou em que a percentagem destas fibras < 10 %,em peso,do conteúdo total de fibras,de peso > 150 g/m2,em folhas em que um dos lados < 435 mm e o outro < 297 mm,quando não dobradas"
"2018";"Bauxita";"76011000";646547687;6360450;"TML";"TONELADA METRICA LIQUIDA";29,234;"Alumínio não ligado, em formas brutas"
"2018";"Bauxita";"76020000";245863977;139599,789;"TML";"TONELADA METRICA LIQUIDA";11,117;"Desperdícios e resíduos, de alumínio"
"2018";"Bauxita";"76061290";183504749;62102,492;"TML";"TONELADA METRICA LIQUIDA";8,297;"Outras chapas e tiras, de ligas alumínio, espessura > 0.2mm"
"2018";"Bauxita";"76169900";168394141;14801,768;"TML";"TONELADA METRICA LIQUIDA";7,614;"Outras obras de alumínio"
"2018";"Bauxita";"76012000";143852692;58992,731;"TML";"TONELADA METRICA LIQUIDA";6,504;"Ligas de alumínio, em formas brutas"
"2018";"Bauxita";"76071190";83954314;23462,151;"TML";"TONELADA METRICA LIQUIDA";3,796;"Outras folhas e tiras, de alumínio sem suporte, laminado, espessura <= 0.2 mm"
"2018";"Bauxita";"76071990";65119506;11891,804;"TML";"TONELADA METRICA LIQUIDA";2,944;"Outras folhas e tiras, de alumínio, sem suporte, espessura <= 0.2mm"
"2018";"Bauxita";"76149010";57889264;27387,667;"TML";"TONELADA METRICA LIQUIDA";2,618;"Outros cabos de alumínio, não isolados para usos elétricos"
"2018";"Bauxita";"76072000";53356320;10555,844;"TML";"TONELADA METRICA LIQUIDA";2,413;"Folhas e tiras, delgadas, de alumínio (mesmo impressas ou com suporte de papel, cartão, plásticos ou semelhantes), de espessura não superior a 0,2 mm, com suporte"
"2018";"Bauxita";"85322200";46313240;798359402;"UNID.";"NUMERO (UNIDADE)";2,094;"Condensador fixo eletrolítico, de alumínio"
"2018";"Bentonita";"25081000";21589755;96426879;"KGL";"QUILOGRAMA LIQUIDO";77,54;"Bentonita"
"2018";"Bentonita";"38029020";6253608;90596245;"KGL";"QUILOGRAMA LIQUIDO";22,46;"Bentonita (matéria mineral natural ativada)"
"2018";"Berílio";"81121900";27747;5;"KGL";"QUILOGRAMA LIQUIDO";100;"Obras de berílio"
"2018";"Bismuto";"81060010";1645134;145300;"KGL";"QUILOGRAMA LIQUIDO";76,665;"Bismuto em bruto"
"2018";"Bismuto";"81060090";423864;7237;"KGL";"QUILOGRAMA LIQUIDO";19,752;"Obras de bismuto, desperdícios e resíduos, de bismuto"
"2018";"Bismuto";"28274911";70753;1639;"KGL";"QUILOGRAMA LIQUIDO";3,297;"Oxicloretos de bismuto"
"2018";"Bismuto";"28273970";6087;2;"KGL";"QUILOGRAMA LIQUIDO";0,284;"Cloreto de bismuto"
"2018";"Bismuto";"28419083";43;1;"KGL";"QUILOGRAMA LIQUIDO";0,002;"Aluminato de bismuto"
"2018";"Boro";"25280000";35653243;149013010;"KGL";"QUILOGRAMA LIQUIDO";40,504;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco"
"2018";"Boro";"28100010";24981074;45258262;"KGL";"QUILOGRAMA LIQUIDO";28,38;"Ácido ortobórico"
"2018";"Boro";"28401900";11912316;21979814;"KGL";"QUILOGRAMA LIQUIDO";13,533;"Outros tetraboratos dissódicos (borax refinado)"
"2018";"Boro";"28402000";11511692;5490921;"KGL";"QUILOGRAMA LIQUIDO";13,078;"Outros boratos"
"2018";"Boro";"28500010";1437115;92734814;"QUILT";"QUILATE";1,633;"Nitreto de boro"
"2018";"Boro";"28499010";1187036;87347;"KGL";"QUILOGRAMA LIQUIDO";1,349;"Carbonetos de constituição química definida ou não, de boro"
"2018";"Boro";"28401100";741169;858564;"KGL";"QUILOGRAMA LIQUIDO";0,842;"Tetraborato dissódico (borax refinado) anidro"
"2018";"Boro";"28100090";413392;94014;"KGL";"QUILOGRAMA LIQUIDO";0,47;"Óxidos de boro e outros ácidos bóricos"
"2018";"Boro";"28403000";186161;167446;"KGL";"QUILOGRAMA LIQUIDO";0,211;"Peroxoboratos (perboratos)"
"2018";"Bromo";"28275900";3773172;2269451;"KGL";"QUILOGRAMA LIQUIDO";77,767;"Outros brometos e oxibrometos"
"2018";"Bromo";"28275100";1068940;304800;"KGL";"QUILOGRAMA LIQUIDO";22,031;"Brometos de sódio ou de potássio"
"2018";"Bromo";"28299019";5696;97;"KGL";"QUILOGRAMA LIQUIDO";0,117;"Outros bromatos"
"2018";"Bromo";"28299029";4083;173;"KGL";"QUILOGRAMA LIQUIDO";0,084;"Outros perbromatos"
"2018";"Cádmio";"28259010";281794;39671;"KGL";"QUILOGRAMA LIQUIDO";61,38;"Óxido de cádmio"
"2018";"Cádmio";"32064910";151335;33351;"KGL";"QUILOGRAMA LIQUIDO";32,964;"Pigmentos preparados à base de compostos de cádmio"
"2018";"Cádmio";"81072010";23524;5021;"KGL";"QUILOGRAMA LIQUIDO";5,124;"Cádmio em formas brutas"
"2018";"Cádmio";"28273991";1757;26;"KGL";"QUILOGRAMA LIQUIDO";0,383;"Cloreto de cádmio"
"2018";"Cádmio";"81079000";447;0;"KGL";"QUILOGRAMA LIQUIDO";0,097;"Obras de cádmio"
"2018";"Cádmio";"81072020";241;0;"KGL";"QUILOGRAMA LIQUIDO";0,052;"Cádmio em pós"
