"CO_ANO";"SUBSTANCIA";"NO_PAIS";"EX_FOB.x";"QUANTIDADE_TON";"percentual_PAIS"
"2016";"Água Mineral";"Alemanha";11;0,01;0
"2016";"Água Mineral";"Angola";13077;11,234;0,153
"2016";"Água Mineral";"Antilhas Holandesas";33432;18,913;0,392
"2016";"Água Mineral";"Arábia Saudita";82368;98,544;0,966
"2016";"Água Mineral";"Aruba";808;1,071;0,009
"2016";"Água Mineral";"Bélgica";127;0,085;0,001
"2016";"Água Mineral";"Bolívia";503750;2259,726;5,909
"2016";"Água Mineral";"Cabo Verde";1053;0,604;0,012
"2016";"Água Mineral";"Chile";48099;60,36;0,564
"2016";"Água Mineral";"China";62478;66,54;0,733
"2016";"Água Mineral";"Colômbia";25432;47,862;0,298
"2016";"Água Mineral";"Emirados Árabes Unidos";39199;52,186;0,46
"2016";"Água Mineral";"Equador";0;0;0
"2016";"Água Mineral";"Estados Unidos";2982383;5640,6;34,983
"2016";"Água Mineral";"Guiana";294252;1169,087;3,452
"2016";"Água Mineral";"Guiné Equatorial";2854;1,595;0,033
"2016";"Água Mineral";"Haiti";32487;22,012;0,381
"2016";"Água Mineral";"Japão";83277;254,622;0,977
"2016";"Água Mineral";"Líbano";26249;80,498;0,308
"2016";"Água Mineral";"México";34778;50,496;0,408
"2016";"Água Mineral";"Nova Zelândia";4161;2,343;0,049
"2016";"Água Mineral";"Países Baixos (Holanda)";1768;1,42;0,021
"2016";"Água Mineral";"Panamá";208359;160,543;2,444
"2016";"Água Mineral";"Paraguai";3338384;14004,874;39,159
"2016";"Água Mineral";"Peru";28663;78,274;0,336
"2016";"Água Mineral";"Portugal";2823;3,102;0,033
"2016";"Água Mineral";"Reino Unido";34563;38,023;0,405
"2016";"Água Mineral";"República Dominicana";301888;273,849;3,541
"2016";"Água Mineral";"Suíça";5837;0,114;0,068
"2016";"Água Mineral";"Suriname";23751;14,729;0,279
"2016";"Água Mineral";"Togo";2525;2,22;0,03
"2016";"Água Mineral";"Uruguai";306276;653,683;3,593
"2016";"Água Mineral";"Venezuela";25;0,076;0
"2017";"Água Mineral";"Angola";83267;49,737;0,89
"2017";"Água Mineral";"Antilhas Holandesas";7950;4,5;0,085
"2017";"Água Mineral";"Arábia Saudita";61776;77,58;0,661
"2017";"Água Mineral";"Argentina";30253;50,336;0,324
"2017";"Água Mineral";"Aruba";3273;4,294;0,035
"2017";"Água Mineral";"Austrália";1836;2,169;0,02
"2017";"Água Mineral";"Bélgica";1007;0,42;0,011
"2017";"Água Mineral";"Bolívia";408208;1609,539;4,365
"2017";"Água Mineral";"Cabo Verde";10500;5,94;0,112
"2017";"Água Mineral";"Catar";61776;76,945;0,661
"2017";"Água Mineral";"Chile";367205;520,651;3,927
"2017";"Água Mineral";"China";39465;38,743;0,422
"2017";"Água Mineral";"Coveite (Kuweit)";20592;25,86;0,22
"2017";"Água Mineral";"Curaçao";8470;4,792;0,091
"2017";"Água Mineral";"Estados Unidos";2711098;5270,534;28,993
"2017";"Água Mineral";"França";309;0,108;0,003
"2017";"Água Mineral";"Grécia";390;1,08;0,004
"2017";"Água Mineral";"Guiana";239073;777,705;2,557
"2017";"Água Mineral";"Guiana Francesa";18394;45,143;0,197
"2017";"Água Mineral";"Guiné Equatorial";1622;1,188;0,017
"2017";"Água Mineral";"Haiti";39595;24,79;0,423
"2017";"Água Mineral";"Hong Kong";1912;1,448;0,02
"2017";"Água Mineral";"Japão";121589;297,493;1,3
"2017";"Água Mineral";"México";10067;25,86;0,108
"2017";"Água Mineral";"Moçambique";20873;14,375;0,223
"2017";"Água Mineral";"Nova Zelândia";8268;7,491;0,088
"2017";"Água Mineral";"Países Baixos (Holanda)";10880;4,734;0,116
"2017";"Água Mineral";"Panamá";215394;167,644;2,303
"2017";"Água Mineral";"Paraguai";3895749;12852,928;41,662
"2017";"Água Mineral";"Peru";9190;18,434;0,098
"2017";"Água Mineral";"Porto Rico";16820;25,198;0,18
"2017";"Água Mineral";"Portugal";6945;7,225;0,074
"2017";"Água Mineral";"Provisão de Navios e Aeronaves";224;0,9;0,002
"2017";"Água Mineral";"Reino Unido";43998;30,991;0,471
"2017";"Água Mineral";"República Dominicana";471274;311,055;5,04
"2017";"Água Mineral";"Suriname";10800;6,336;0,115
"2017";"Água Mineral";"Turquia";145;0,04;0,002
"2017";"Água Mineral";"Uruguai";381999;801,167;4,085
"2017";"Água Mineral";"Venezuela";8640;26,775;0,092
"2018";"Água Mineral";"Alemanha";13545;21,988;0,12
"2018";"Água Mineral";"Angola";70065;41,68;0,622
"2018";"Água Mineral";"Antígua e Barbuda";2149;7,047;0,019
"2018";"Água Mineral";"Arábia Saudita";75921;103,489;0,674
"2018";"Água Mineral";"Argélia";1009;0,98;0,009
"2018";"Água Mineral";"Argentina";10706;6,586;0,095
"2018";"Água Mineral";"Austrália";2159;2,161;0,019
"2018";"Água Mineral";"Bahamas";16361;29,124;0,145
"2018";"Água Mineral";"Barbados";2344;8,486;0,021
"2018";"Água Mineral";"Barein";15663;18,871;0,139
"2018";"Água Mineral";"Bélgica";4936;2,512;0,044
"2018";"Água Mineral";"Belize";288;0,05;0,003
"2018";"Água Mineral";"Bermudas";910;0,37;0,008
"2018";"Água Mineral";"Bolívia";241999;1028,952;2,148
"2018";"Água Mineral";"Brasil";2416;1,246;0,021
"2018";"Água Mineral";"Cabo Verde";6720;3,804;0,06
"2018";"Água Mineral";"Canadá";19050;50,001;0,169
"2018";"Água Mineral";"Cayman, Ilhas";338;0,525;0,003
"2018";"Água Mineral";"Chile";594842;1019,51;5,28
"2018";"Água Mineral";"China";78273;114,354;0,695
"2018";"Água Mineral";"Chipre";13710;28,043;0,122
"2018";"Água Mineral";"Cingapura";30265;71,336;0,269
"2018";"Água Mineral";"Colômbia";519;0,755;0,005
"2018";"Água Mineral";"Coreia do Sul";320;0,542;0,003
"2018";"Água Mineral";"Coveite (Kuweit)";17160;25,86;0,152
"2018";"Água Mineral";"Cuba";5;0,004;0
"2018";"Água Mineral";"Curaçao";28630;16,196;0,254
"2018";"Água Mineral";"Dinamarca";5393;12,591;0,048
"2018";"Água Mineral";"Egito";59;0,172;0,001
"2018";"Água Mineral";"Emirados Árabes Unidos";6646;10,796;0,059
"2018";"Água Mineral";"Equador";8008;12,265;0,071
"2018";"Água Mineral";"Eslováquia";4;0,001;0
"2018";"Água Mineral";"Eslovênia";143;0,06;0,001
"2018";"Água Mineral";"Espanha";660;0,986;0,006
"2018";"Água Mineral";"Estados Unidos";3409789;6434,49;30,264
"2018";"Água Mineral";"Etiópia";4496;3,577;0,04
"2018";"Água Mineral";"Falkland (Malvinas)";591;0,08;0,005
"2018";"Água Mineral";"Filipinas";6140;17,794;0,054
"2018";"Água Mineral";"França";14278;8,594;0,127
"2018";"Água Mineral";"Gibraltar";330;1,916;0,003
"2018";"Água Mineral";"Grécia";52301;99,651;0,464
"2018";"Água Mineral";"Guiana";293323;919,41;2,603
"2018";"Água Mineral";"Guiana Francesa";8292;22,679;0,074
"2018";"Água Mineral";"Guiné-Bissau";12;0,013;0
"2018";"Água Mineral";"Haiti";41938;26,255;0,372
"2018";"Água Mineral";"Hong Kong";26867;44,994;0,238
"2018";"Água Mineral";"Índia";3967;11,803;0,035
"2018";"Água Mineral";"Irlanda";552;0,655;0,005
"2018";"Água Mineral";"Itália";10520;18,57;0,093
"2018";"Água Mineral";"Japão";163395;346,778;1,45
"2018";"Água Mineral";"Jordânia";292;0,54;0,003
"2018";"Água Mineral";"Líbano";251;0,01;0,002
"2018";"Água Mineral";"Libéria";59118;106,014;0,525
"2018";"Água Mineral";"Malásia";521;0,32;0,005
"2018";"Água Mineral";"Malta";40808;85,574;0,362
"2018";"Água Mineral";"Marrocos";97;0,076;0,001
"2018";"Água Mineral";"Marshall, Ilhas";79467;147,556;0,705
"2018";"Água Mineral";"México";30502;51,377;0,271
"2018";"Água Mineral";"Niue";932;0,126;0,008
"2018";"Água Mineral";"Noruega";13058;69,279;0,116
"2018";"Água Mineral";"Nova Zelândia";3099;2,334;0,028
"2018";"Água Mineral";"Países Baixos (Holanda)";13469;27,771;0,12
"2018";"Água Mineral";"Panamá";312768;258,722;2,776
"2018";"Água Mineral";"Paraguai";4364323;16577,361;38,735
"2018";"Água Mineral";"Porto Rico";119;1,686;0,001
"2018";"Água Mineral";"Portugal";87679;162,53;0,778
"2018";"Água Mineral";"Provisão de Navios e Aeronaves";1033;2,586;0,009
"2018";"Água Mineral";"Reino Unido";42767;42,569;0,38
"2018";"Água Mineral";"República Dominicana";515563;347,837;4,576
"2018";"Água Mineral";"Rússia";2477;3,394;0,022
"2018";"Água Mineral";"São Vicente e Granadinas";48;0,198;0
"2018";"Água Mineral";"Serra Leoa";147;0,106;0,001
"2018";"Água Mineral";"Suécia";1068;0,752;0,009
"2018";"Água Mineral";"Suíça";863;1,249;0,008
"2018";"Água Mineral";"Tailândia";3956;14,106;0,035
"2018";"Água Mineral";"Taiwan (Formosa)";150;0,344;0,001
"2018";"Água Mineral";"Togo";186;0,25;0,002
"2018";"Água Mineral";"Turquia";7875;15,371;0,07
"2018";"Água Mineral";"Tuvalu";49;0,043;0
"2018";"Água Mineral";"Uruguai";376024;769,365;3,337
"2018";"Água Mineral";"Vietnã";280;0,076;0,002
"2016";"Amianto";"África do Sul";2037445;3600,544;4,009
"2016";"Amianto";"Alemanha";20080;1,036;0,04
"2016";"Amianto";"Angola";2111;0,099;0,004
"2016";"Amianto";"Antilhas Holandesas";12763;0,108;0,025
"2016";"Amianto";"Arábia Saudita";24;0;0
"2016";"Amianto";"Argélia";722;0;0,001
"2016";"Amianto";"Argentina";18653;0,13;0,037
"2016";"Amianto";"Austrália";1;0;0
"2016";"Amianto";"Bélgica";1903;0,03;0,004
"2016";"Amianto";"Bolívia";3565934;5579,196;7,016
"2016";"Amianto";"Canadá";15845;7,017;0,031
"2016";"Amianto";"Chile";3581;0,12;0,007
"2016";"Amianto";"China";5734;0,295;0,011
"2016";"Amianto";"Cingapura";504;0,005;0,001
"2016";"Amianto";"Colômbia";898278;1480,077;1,767
"2016";"Amianto";"Coreia do Sul";98;0,005;0
"2016";"Amianto";"Costa Rica";2780;0,05;0,005
"2016";"Amianto";"Cuba";1267;0,018;0,002
"2016";"Amianto";"Dinamarca";1899;0,037;0,004
"2016";"Amianto";"Egito";74;0,001;0
"2016";"Amianto";"El Salvador";353900;600;0,696
"2016";"Amianto";"Emirados Árabes Unidos";63;0,002;0
"2016";"Amianto";"Equador";1121753;1500,023;2,207
"2016";"Amianto";"Eslováquia";14960;0,138;0,029
"2016";"Amianto";"Espanha";0;0;0
"2016";"Amianto";"Estados Unidos";1324961;708,163;2,607
"2016";"Amianto";"Filipinas";131320;268;0,258
"2016";"Amianto";"França";1968;0,071;0,004
"2016";"Amianto";"Gana";227;0;0
"2016";"Amianto";"Guatemala";674;0,006;0,001
"2016";"Amianto";"Guiana";32;0;0
"2016";"Amianto";"Guiana Francesa";857;0,01;0,002
"2016";"Amianto";"Guiné Equatorial";2398;0,006;0,005
"2016";"Amianto";"Honduras";136;0,004;0
"2016";"Amianto";"Hong Kong";25111;3,271;0,049
"2016";"Amianto";"Índia";18064288;38260,027;35,544
"2016";"Amianto";"Indonésia";13248487;22320;26,068
"2016";"Amianto";"Itália";14541;0,094;0,029
"2016";"Amianto";"Japão";6;0;0
"2016";"Amianto";"Líbano";3;0;0
"2016";"Amianto";"Malásia";1277534;1780;2,514
"2016";"Amianto";"México";2809761;4080,686;5,529
"2016";"Amianto";"Nicarágua";320;0,006;0,001
"2016";"Amianto";"Países Baixos (Holanda)";2342;0,421;0,005
"2016";"Amianto";"Panamá";554;0,053;0,001
"2016";"Amianto";"Paquistão";66;0,001;0
"2016";"Amianto";"Paraguai";3458444;18344,699;6,805
"2016";"Amianto";"Peru";444462;636,028;0,875
"2016";"Amianto";"Portugal";653;0,049;0,001
"2016";"Amianto";"Reino Unido";3149;0,026;0,006
"2016";"Amianto";"República Dominicana";791;0,068;0,002
"2016";"Amianto";"Ruanda";20;0,005;0
"2016";"Amianto";"Rússia";24;0,002;0
"2016";"Amianto";"Sri Lanka";278738;460;0,548
"2016";"Amianto";"Suécia";1823;0,017;0,004
"2016";"Amianto";"Suíça";20;0;0
"2016";"Amianto";"Suriname";32;0;0
"2016";"Amianto";"Tailândia";395000;500;0,777
"2016";"Amianto";"Tunísia";10;0;0
"2016";"Amianto";"Uruguai";5949;0,079;0,012
"2016";"Amianto";"Venezuela";1831;0,129;0,004
"2016";"Amianto";"Vietnã";1246138;2540;2,452
"2017";"Amianto";"África do Sul";1659559;3400,423;2,951
"2017";"Amianto";"Alemanha";15992;0,344;0,028
"2017";"Amianto";"Angola";2492;0,386;0,004
"2017";"Amianto";"Arábia Saudita";7;0;0
"2017";"Amianto";"Argélia";25;0;0
"2017";"Amianto";"Argentina";3463;0,123;0,006
"2017";"Amianto";"Austrália";18;0,001;0
"2017";"Amianto";"Áustria";5771;0,007;0,01
"2017";"Amianto";"Bangladesh";257600;640;0,458
"2017";"Amianto";"Bélgica";124;0,004;0
"2017";"Amianto";"Bolívia";1535104;2927,727;2,73
"2017";"Amianto";"Canadá";289;0,01;0,001
"2017";"Amianto";"Chile";2484;0,037;0,004
"2017";"Amianto";"China";3161;0,021;0,006
"2017";"Amianto";"Cingapura";66;0,002;0
"2017";"Amianto";"Colômbia";2469661;3900,111;4,391
"2017";"Amianto";"Costa Rica";310;0,002;0,001
"2017";"Amianto";"Cuba";123;0;0
"2017";"Amianto";"El Salvador";562080;960;0,999
"2017";"Amianto";"Emirados Árabes Unidos";1841;0,001;0,003
"2017";"Amianto";"Equador";803963;1080,125;1,429
"2017";"Amianto";"Eslováquia";29571;0,39;0,053
"2017";"Amianto";"Estados Unidos";597934;292,789;1,063
"2017";"Amianto";"Filipinas";261660;534;0,465
"2017";"Amianto";"França";5216;0,105;0,009
"2017";"Amianto";"Guatemala";136;0,003;0
"2017";"Amianto";"Guiana";43;0,002;0
"2017";"Amianto";"Honduras";180;0,005;0
"2017";"Amianto";"Índia";30177198;65280,106;53,657
"2017";"Amianto";"Indonésia";9981022;18764;17,747
"2017";"Amianto";"Malásia";1234212;1860,002;2,195
"2017";"Amianto";"Malavi";9;0;0
"2017";"Amianto";"México";453166;560,951;0,806
"2017";"Amianto";"Namíbia";0;0;0
"2017";"Amianto";"Nicarágua";81;0,013;0
"2017";"Amianto";"Niue";302280;120;0,537
"2017";"Amianto";"Países Baixos (Holanda)";508;0,001;0,001
"2017";"Amianto";"Panamá";1590;0,057;0,003
"2017";"Amianto";"Paraguai";2021999;9138,448;3,595
"2017";"Amianto";"Peru";641641;813,032;1,141
"2017";"Amianto";"Portugal";3343;0,135;0,006
"2017";"Amianto";"Reino Unido";3122;0,114;0,006
"2017";"Amianto";"República Dominicana";5727;0,631;0,01
"2017";"Amianto";"Rússia";470;0,002;0,001
"2017";"Amianto";"Sri Lanka";1591560;3080;2,83
"2017";"Amianto";"Suécia";5771;0,048;0,01
"2017";"Amianto";"Suriname";46;0,002;0
"2017";"Amianto";"Tailândia";14060;20;0,025
"2017";"Amianto";"Tunísia";35;0;0
"2017";"Amianto";"Uruguai";2287;0,066;0,004
"2017";"Amianto";"Venezuela";1697;0,064;0,003
"2017";"Amianto";"Vietnã";1580320;3560;2,81
"2018";"Amianto";"África do Sul";277;0;0,001
"2018";"Amianto";"Alemanha";5441;0,213;0,012
"2018";"Amianto";"Angola";239;0,001;0,001
"2018";"Amianto";"Argélia";10;0;0
"2018";"Amianto";"Argentina";9039;0,114;0,02
"2018";"Amianto";"Austrália";34;0,011;0
"2018";"Amianto";"Bahamas";86;0,001;0
"2018";"Amianto";"Bangladesh";1098121;2807,5;2,373
"2018";"Amianto";"Bélgica";5157;0,315;0,011
"2018";"Amianto";"Belize";8;0;0
"2018";"Amianto";"Bolívia";1209873;3904,458;2,615
"2018";"Amianto";"Canadá";608;0,021;0,001
"2018";"Amianto";"Chile";11389;0,1;0,025
"2018";"Amianto";"Cingapura";519;0,006;0,001
"2018";"Amianto";"Colômbia";615389;1020,067;1,33
"2018";"Amianto";"Costa Rica";299;0,002;0,001
"2018";"Amianto";"Cuba";203;0,022;0
"2018";"Amianto";"El Salvador";416165;720;0,899
"2018";"Amianto";"Emirados Árabes Unidos";1045;0,012;0,002
"2018";"Amianto";"Equador";453671;660,014;0,98
"2018";"Amianto";"Estados Unidos";1086922;610,774;2,349
"2018";"Amianto";"Etiópia";1629;0,002;0,004
"2018";"Amianto";"Filipinas";50960;104;0,11
"2018";"Amianto";"França";1385;0,103;0,003
"2018";"Amianto";"Gana";80;0,002;0
"2018";"Amianto";"Guatemala";138767;240,002;0,3
"2018";"Amianto";"Guiné Equatorial";2;0;0
"2018";"Amianto";"Honduras";971;0,019;0,002
"2018";"Amianto";"Hong Kong";1793;0,008;0,004
"2018";"Amianto";"Índia";27968132;65185,164;60,439
"2018";"Amianto";"Indonésia";8564734;20714,5;18,508
"2018";"Amianto";"Japão";4;0,002;0
"2018";"Amianto";"Libéria";56;0,02;0
"2018";"Amianto";"Malásia";1189760;1880;2,571
"2018";"Amianto";"Marshall, Ilhas";642;0,003;0,001
"2018";"Amianto";"México";18248;0,311;0,039
"2018";"Amianto";"Nicarágua";210;0,015;0
"2018";"Amianto";"Países Baixos (Holanda)";76;0;0
"2018";"Amianto";"Panamá";2080;0,03;0,004
"2018";"Amianto";"Paraguai";783959;3602,732;1,694
"2018";"Amianto";"Peru";215949;160,014;0,467
"2018";"Amianto";"Portugal";3341;0,419;0,007
"2018";"Amianto";"Quênia";281;0;0,001
"2018";"Amianto";"Reino Unido";5730;0,306;0,012
"2018";"Amianto";"República Dominicana";173;0,002;0
"2018";"Amianto";"Romênia";335;0,001;0,001
"2018";"Amianto";"Rússia";349;0,005;0,001
"2018";"Amianto";"Sri Lanka";676600;1457,5;1,462
"2018";"Amianto";"Suécia";2087;0,005;0,005
"2018";"Amianto";"Suíça";11900;20;0,026
"2018";"Amianto";"Tailândia";595000;2000;1,286
"2018";"Amianto";"Tcheca, República";2320;0,03;0,005
"2018";"Amianto";"Ucrânia";2;0;0
"2018";"Amianto";"Uruguai";2944;0,018;0,006
"2018";"Amianto";"Venezuela";13567;25,896;0,029
"2018";"Amianto";"Vietnã";1106563;2599,8;2,391
"2016";"Antimônio";"Argentina";6900;1;47,221
"2016";"Antimônio";"Estados Unidos";7699;0,706;52,69
"2016";"Antimônio";"Peru";13;0,001;0,089
"2017";"Antimônio";"Estados Unidos";400;0,027;75,901
"2017";"Antimônio";"Paraguai";108;0,001;20,493
"2017";"Antimônio";"Uruguai";19;0,007;3,605
"2018";"Antimônio";"Estados Unidos";67326;23,137;99,958
"2018";"Antimônio";"Paraguai";28;0;0,042
"2016";"Areia";"Angola";53248;46,547;36,437
"2016";"Areia";"Equador";35200;29,03;24,087
"2016";"Areia";"México";765;1,5;0,523
"2016";"Areia";"Paraguai";25478;39,019;17,434
"2016";"Areia";"República Dominicana";3922;10,8;2,684
"2016";"Areia";"Uruguai";27524;2435,15;18,834
"2017";"Areia";"Angola";66;0,007;0,14
"2017";"Areia";"China";15764;0,646;33,469
"2017";"Areia";"Colômbia";151;0,001;0,321
"2017";"Areia";"Estados Unidos";1977;0,001;4,197
"2017";"Areia";"Itália";1;0,05;0,002
"2017";"Areia";"Países Baixos (Holanda)";348;0,052;0,739
"2017";"Areia";"Paraguai";11948;104,671;25,367
"2017";"Areia";"República Dominicana";3949;10,6;8,384
"2017";"Areia";"Uruguai";12897;880,4;27,382
"2018";"Areia";"Angola";4851;5,92;6,757
"2018";"Areia";"Chile";11255;245,195;15,677
"2018";"Areia";"Coreia do Sul";14767;16,283;20,568
"2018";"Areia";"Espanha";48;0,685;0,067
"2018";"Areia";"Hong Kong";24;0,007;0,033
"2018";"Areia";"Irlanda";6;1,84;0,008
"2018";"Areia";"Itália";296;0,181;0,412
"2018";"Areia";"Jordânia";388;1,013;0,54
"2018";"Areia";"Malta";28;0,005;0,039
"2018";"Areia";"Países Baixos (Holanda)";493;1,079;0,687
"2018";"Areia";"Panamá";44;0,024;0,061
"2018";"Areia";"Paraguai";2661;10,881;3,706
"2018";"Areia";"Reino Unido";176;2,011;0,245
"2018";"Areia";"República Dominicana";10005;29,48;13,936
"2018";"Areia";"Uruguai";26753;1453,365;37,263
"2016";"Argilas Comuns";"África do Sul";174879;359,072;0,741
"2016";"Argilas Comuns";"Alemanha";2722;2,672;0,012
"2016";"Argilas Comuns";"Angola";225072;1105,734;0,953
"2016";"Argilas Comuns";"Antilhas Holandesas";92683;257,682;0,393
"2016";"Argilas Comuns";"Arábia Saudita";151922;291,112;0,643
"2016";"Argilas Comuns";"Argentina";10401180;25028,548;44,05
"2016";"Argilas Comuns";"Aruba";50279;85,219;0,213
"2016";"Argilas Comuns";"Austrália";72886;16,639;0,309
"2016";"Argilas Comuns";"Áustria";390;0,023;0,002
"2016";"Argilas Comuns";"Barbados";10744;51,4;0,046
"2016";"Argilas Comuns";"Barein";35850;67,624;0,152
"2016";"Argilas Comuns";"Bélgica";373505;36,712;1,582
"2016";"Argilas Comuns";"Bolívia";3500588;11440,313;14,825
"2016";"Argilas Comuns";"Cabo Verde";4759;1,666;0,02
"2016";"Argilas Comuns";"Canadá";64854;54,148;0,275
"2016";"Argilas Comuns";"Catar";44830;177,442;0,19
"2016";"Argilas Comuns";"Chile";237854;381,622;1,007
"2016";"Argilas Comuns";"China";16618;0,93;0,07
"2016";"Argilas Comuns";"Cingapura";13121;10,451;0,056
"2016";"Argilas Comuns";"Colômbia";458797;890,358;1,943
"2016";"Argilas Comuns";"Coreia do Sul";220373;12,247;0,933
"2016";"Argilas Comuns";"Costa Rica";407522;937,168;1,726
"2016";"Argilas Comuns";"Curaçao";1221;1,493;0,005
"2016";"Argilas Comuns";"El Salvador";25201;32,493;0,107
"2016";"Argilas Comuns";"Emirados Árabes Unidos";63287;199,732;0,268
"2016";"Argilas Comuns";"Equador";21196;33,175;0,09
"2016";"Argilas Comuns";"Espanha";91728;130,637;0,388
"2016";"Argilas Comuns";"Estados Unidos";391600;861,364;1,658
"2016";"Argilas Comuns";"Filipinas";1730;1,154;0,007
"2016";"Argilas Comuns";"Finlândia";6;0,101;0
"2016";"Argilas Comuns";"França";64986;4,488;0,275
"2016";"Argilas Comuns";"Gana";199391;158,886;0,844
"2016";"Argilas Comuns";"Granada";28384;42,756;0,12
"2016";"Argilas Comuns";"Guadalupe";13959;27,536;0,059
"2016";"Argilas Comuns";"Guatemala";30598;11,096;0,13
"2016";"Argilas Comuns";"Guiana";1125;0,351;0,005
"2016";"Argilas Comuns";"Guiana Francesa";33392;79,254;0,141
"2016";"Argilas Comuns";"Guiné-Bissau";1528;6,261;0,006
"2016";"Argilas Comuns";"Haiti";24544;86,376;0,104
"2016";"Argilas Comuns";"Honduras";12327;19,31;0,052
"2016";"Argilas Comuns";"Índia";107399;428,759;0,455
"2016";"Argilas Comuns";"Israel";2674;1,828;0,011
"2016";"Argilas Comuns";"Itália";69442;92,289;0,294
"2016";"Argilas Comuns";"Jamaica";100;0,15;0
"2016";"Argilas Comuns";"Japão";25425;2,845;0,108
"2016";"Argilas Comuns";"Líbano";1815;5,09;0,008
"2016";"Argilas Comuns";"Malásia";12852;16,2;0,054
"2016";"Argilas Comuns";"México";18152;52,511;0,077
"2016";"Argilas Comuns";"Moçambique";142;0,003;0,001
"2016";"Argilas Comuns";"Namíbia";44610;46,192;0,189
"2016";"Argilas Comuns";"Nicarágua";5885;9,295;0,025
"2016";"Argilas Comuns";"Nigéria";84093;127,736;0,356
"2016";"Argilas Comuns";"Noruega";9228;1,163;0,039
"2016";"Argilas Comuns";"Nova Zelândia";2298;0,135;0,01
"2016";"Argilas Comuns";"Omã";43609;76,507;0,185
"2016";"Argilas Comuns";"Panamá";53119;116,354;0,225
"2016";"Argilas Comuns";"Paraguai";2728007;6993,124;11,553
"2016";"Argilas Comuns";"Peru";472772;659,745;2,002
"2016";"Argilas Comuns";"Porto Rico";25381;84,224;0,107
"2016";"Argilas Comuns";"Portugal";2083;3,522;0,009
"2016";"Argilas Comuns";"Quênia";8350;17,49;0,035
"2016";"Argilas Comuns";"Reino Unido";168597;153,813;0,714
"2016";"Argilas Comuns";"República Dominicana";452580;2885,035;1,917
"2016";"Argilas Comuns";"Rússia";21341;0,051;0,09
"2016";"Argilas Comuns";"Senegal";2537;19,045;0,011
"2016";"Argilas Comuns";"Serra Leoa";1292;4,874;0,005
"2016";"Argilas Comuns";"Suécia";23;0;0
"2016";"Argilas Comuns";"Suíça";319;0,027;0,001
"2016";"Argilas Comuns";"Tailândia";9788;23,522;0,041
"2016";"Argilas Comuns";"Taiwan (Formosa)";402;0,096;0,002
"2016";"Argilas Comuns";"Trinidad e Tobago";2202;2,562;0,009
"2016";"Argilas Comuns";"Uruguai";1637066;28272,148;6,933
"2016";"Argilas Comuns";"Venezuela";31256;21,497;0,132
"2017";"Argilas Comuns";"África do Sul";5865895;29653,048;1,67
"2017";"Argilas Comuns";"Alemanha";3270531;12398,824;0,931
"2017";"Argilas Comuns";"Angola";1448842;4062,975;0,412
"2017";"Argilas Comuns";"Anguilla";25230;75,28;0,007
"2017";"Argilas Comuns";"Antígua e Barbuda";399248;1579,668;0,114
"2017";"Argilas Comuns";"Antilhas Holandesas";581613;2425,851;0,166
"2017";"Argilas Comuns";"Arábia Saudita";718538;1966,069;0,205
"2017";"Argilas Comuns";"Argentina";42994224;99357,086;12,239
"2017";"Argilas Comuns";"Aruba";344406;891,609;0,098
"2017";"Argilas Comuns";"Austrália";3496635;7194,194;0,995
"2017";"Argilas Comuns";"Áustria";10373;29,421;0,003
"2017";"Argilas Comuns";"Azerbaijão";30899;78,347;0,009
"2017";"Argilas Comuns";"Bahamas";793461;3407,059;0,226
"2017";"Argilas Comuns";"Bangladesh";6623;44,805;0,002
"2017";"Argilas Comuns";"Barbados";946681;3729,672;0,269
"2017";"Argilas Comuns";"Barein";503726;1304,471;0,143
"2017";"Argilas Comuns";"Bélgica";2697336;4719,981;0,768
"2017";"Argilas Comuns";"Belize";546859;1986,942;0,156
"2017";"Argilas Comuns";"Benin";45552;154,561;0,013
"2017";"Argilas Comuns";"Bolívia";15063088;58625,37;4,288
"2017";"Argilas Comuns";"Bonaire, Saint Eustatius e Saba";32155;99,822;0,009
"2017";"Argilas Comuns";"Cabo Verde";162122;794,648;0,046
"2017";"Argilas Comuns";"Camarões";96562;492,389;0,027
"2017";"Argilas Comuns";"Canadá";2511657;6546,426;0,715
"2017";"Argilas Comuns";"Catar";166395;629,738;0,047
"2017";"Argilas Comuns";"Cayman, Ilhas";147146;522,707;0,042
"2017";"Argilas Comuns";"Chile";19250671;75226,143;5,48
"2017";"Argilas Comuns";"China";185667;42,936;0,053
"2017";"Argilas Comuns";"Cingapura";43992;97,373;0,013
"2017";"Argilas Comuns";"Colômbia";16777403;75459,098;4,776
"2017";"Argilas Comuns";"Congo";17498;81,923;0,005
"2017";"Argilas Comuns";"Congo, República Democrática";9193;52,971;0,003
"2017";"Argilas Comuns";"Coreia do Sul";59547;209,593;0,017
"2017";"Argilas Comuns";"Costa do Marfim";236706;1328,125;0,067
"2017";"Argilas Comuns";"Costa Rica";5553806;27174,724;1,581
"2017";"Argilas Comuns";"Coveite (Kuweit)";288452;688,799;0,082
"2017";"Argilas Comuns";"Cuba";1585634;3408,588;0,451
"2017";"Argilas Comuns";"Curaçao";64417;254,691;0,018
"2017";"Argilas Comuns";"Dominica";233092;1156,563;0,066
"2017";"Argilas Comuns";"El Salvador";293652;1157,634;0,084
"2017";"Argilas Comuns";"Emirados Árabes Unidos";1800103;3835,846;0,512
"2017";"Argilas Comuns";"Equador";983270;3942,219;0,28
